City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,yung shue wan,22.2333,114.1167,86.68,85,68,12.59,HK,1722813104
303,fort st. john,56.2499,-120.8529,55.29,88,75,5.75,CA,1722813104
304,desnogorsk,54.1508,33.2815,55.62,89,25,4.12,RU,1722813104
305,goba,7.0167,39.9833,53.44,92,100,2.15,ET,1722813104
306,anadyr,64.75,177.4833,43.3,93,100,17.9,RU,1722813104
307,thurso,58.5927,-3.5259,57.45,89,100,10.67,GB,1722813105
308,tunja,5.5353,-73.3678,52.03,93,88,4.76,CO,1722812951
309,pavilosta,56.8879,21.1859,55.31,88,76,5.06,LV,1722813105
310,geraldton,-28.7667,114.6,45.01,93,0,9.22,AU,1722813105
311,yulinshi,38.2906,109.7494,74.07,66,55,8.32,CN,1722813105
312,kill devil hills,36.0307,-75.676,79.99,87,0,14.97,US,1722813106
313,vila franca do campo,37.7167,-25.4333,75.61,87,20,4.14,PT,1722813106
314,badger,64.8,-147.5333,75.36,51,0,5.75,US,1722813106
315,necochea,-38.5473,-58.7368,51.67,49,77,7.92,AR,1722813106
316,humaita,-7.5061,-63.0208,87.01,35,27,3.31,BR,1722813106
317,valdivia,-39.8142,-73.2459,50.09,94,100,7.27,CL,1722813106
318,la passe,45.5549,-0.8967,68.23,90,0,7.07,FR,1722813106
319,nuuk,64.1835,-51.7216,47.01,76,65,6.91,GL,1722813009
320,sinabang,2.4803,96.3801,78.28,85,97,3.76,ID,1722813107
321,mili,6.0815,171.735,83.89,75,50,13.18,MH,1722813107
322,kunashak,55.7032,61.5498,61.32,99,3,7.09,RU,1722813107
323,pangody,65.85,74.4859,53.58,62,97,16.73,RU,1722813107
324,villa bruzual,9.3328,-69.1208,78.15,88,25,2.64,VE,1722813107
325,laguna,38.421,-121.4238,104.23,21,0,11.5,US,1722813107
326,loikaw,19.6742,97.2094,69.08,99,100,2.35,MM,1722813108
327,khovd,48.0056,91.6419,66.51,37,0,2.08,MN,1722813108
328,zheleznogorsk-ilimskiy,56.5768,104.1217,56.43,89,46,1.57,RU,1722813108
329,sarangani,5.4033,125.4636,82.89,76,78,9.1,PH,1722813108
330,bamboo flat,11.7,92.7167,78.89,89,75,2.3,IN,1722813108
331,urcos,-13.6861,-71.6228,57.09,68,79,6.93,PE,1722813108
332,lompoc,34.6391,-120.4579,74.93,75,0,16.11,US,1722813108
333,kendari,-3.945,122.4989,73.72,95,91,2.06,ID,1722813109
334,uturoa,-16.7333,-151.4333,76.24,70,2,16.69,PF,1722813109
335,njombe,-9.3333,34.7667,46.65,80,0,4.63,TZ,1722813109
336,mount isa,-20.7333,139.5,67.77,56,100,1.14,AU,1722813109
337,teloloapan,18.35,-99.85,71.62,77,98,2.91,MX,1722812867
338,sigli,5.3848,95.9609,77.54,83,100,5.32,ID,1722813109
339,carutapera,-1.195,-46.02,78.35,79,44,7.74,BR,1722813109
340,dudinka,69.4058,86.1778,44.73,64,0,16.06,RU,1722813110
341,hilton head island,32.2163,-80.7526,84.31,77,0,1.99,US,1722813110
342,basoko,1.2391,23.616,71.92,94,43,4.34,CD,1722813110
343,mora,11.0461,14.1401,72.95,79,100,5.06,CM,1722813110
344,port augusta,-32.5,137.7667,53.08,75,100,4.07,AU,1722813110
345,zonguldak,41.25,31.8333,64.49,86,3,2.57,TR,1722813111
346,uliastay,47.7417,96.8444,54.63,62,0,4.61,MN,1722813111
347,rongelap,11.1635,166.8941,83.55,78,52,11.88,MH,1722813111
348,port-vila,-17.7338,168.3219,72.95,55,21,16.02,VU,1722813111
349,richards bay,-28.783,32.0377,67.82,67,39,18.66,ZA,1722813111
350,luziania,-16.2525,-47.9503,71.29,45,3,4.56,BR,1722813111
351,georgetown,5.4112,100.3354,80.53,83,20,0.0,MY,1722813027
352,al jawf,29.5,38.75,80.98,24,4,7.09,SA,1722813112
353,fale old settlement,-9.3852,-171.2468,81.75,81,89,14.88,TK,1722813112
354,san jose,37.3394,-121.895,88.52,50,0,11.5,US,1722813104
355,hilo,19.7297,-155.09,85.95,76,75,11.5,US,1722813112
356,santa cruz,-17.8,-63.1667,80.56,56,7,10.33,BO,1722812987
357,ingeniero jacobacci,-41.3427,-69.5448,44.6,52,96,8.3,AR,1722813112
358,kavieng,-2.5744,150.7967,82.47,75,100,9.78,PG,1722813112
359,dois corregos,-22.3661,-48.3803,70.27,49,25,10.02,BR,1722813113
360,magadan,59.5667,150.8,59.16,74,14,2.64,RU,1722812874
361,yonggwang-up,40.0183,127.4547,73.76,98,100,0.81,KP,1722813113
362,axim,4.8699,-2.2405,75.78,81,100,6.93,GH,1722813113
363,vladimiro-aleksandrovskoye,42.8944,133.0778,64.94,82,99,6.53,RU,1722813113
